AMOSTRAGEM 0
Origem - Destino ['193S7', '2S28']
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:7.25099992752
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.40799999237
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:7.04600000381
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.81100010872
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.58599996567
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:7.42600011826
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.62199997902
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.60199999809
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.32399988174
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.45900011063
Origem - Destino ['180S6', '244S29']
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:7.78399991989
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:8.00900006294
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:7.67599987984
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:7.96600008011
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:7.54399991035
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.55200004578
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.86000013351
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:7.06199979782
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:7.17200016975
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:7.12699985504
Origem - Destino ['124S17', '16S6']
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:7.02200007439
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.94900012016
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.757999897
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:7.36999988556
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.39900016785
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.64299988747
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:7.00600004196
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.55100011826
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.67599987984
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.80800008774
Origem - Destino ['104S14', '184S0']
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:8.38100004196
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:7.78299999237
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:7.41599988937
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:8.14100003242
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.82800006866
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:7.46499991417
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:7.45399999619
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:8.04699993134
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:8.30599999428
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:8.08700013161
Origem - Destino ['42S52', '151S8']
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(['42S52', '42S53', '42S54', '28S5', '28S6', '28S7', '28S8', '147S17', '147S18', '147S19', '147S20', '147S21', '147S22', '115S0', '115S1', '115S2', '115S3', '115S4', '115S5', '115S6', '115S7', '115S8', '115S9', '115S10', '115S11', '113S0', '113S1', '113S2', '625S19', '113S3', '625S21', '625S22', '625S23', '625S24', '625S25', '113S10', '216S25', '113S11', '625S27', '625S28', '625S29', '625S30', '625S31', '625S32', '194S13', '246S4', '113S13', '113S14', '625S33', '625S34', '113S15', '625S35', '625S36', '625S37', '625S38', '616S3', '616S4', '216S10', '158S1', '158S2', '265S1', '232S4', '232S5', '232S6', '232S7', '221S22', '566S2', '232S11', '199S14', '199S15', '199S16', '151S8'], 44.96760560199918) - Time:7.08399987221
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:7.21600008011
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.95399999619
