AMOSTRAGEM 0
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.15599989891
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.11500000954
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.06699991226
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:2.96700000763
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:2.97900009155
Origem - Destino ['160S5', '119S2']
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.14800000191
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.10599994659
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.01999998093
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.117000103
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:2.97499990463
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.00699996948
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.1890001297
