stop_id,stop_name,stop_desc,stop_lat,stop_lon
462S21,R 462 462S21,MARTÍN CARRERA (METRO) - SAN MIGUEL BOCA NEGRA 462S21,19.84927767735001,-99.11220475603668
130S15,R 130 130S15,POTRERO (METRO) - PACHUCA 130S15,19.84808329468756,-98.97331391877593
559S14,R 287 559S14,MARTÍN CARRERA (METRO) - SANTA MARÍA AJOLOAPAN 559S14,19.846527700839026,-98.97709553600187
552S25,R 552 552S25,INDIOS VERDES (METRO) - APAXCO 552S25,19.844511473911837,-99.12335965428949
462S20,R 462 462S20,MARTÍN CARRERA (METRO) - SAN MIGUEL BOCA NEGRA 462S20,19.844388197078565,-99.11468420476089
50S20,R 50 50S20,TREN SUBURBANO CUAUTITLAN - DORADO 50S20,19.842255917503945,-99.20773006441036
130S14,R 130 130S14,POTRERO (METRO) - PACHUCA 130S14,19.835570036627225,-98.97517096300668
363S29,R 363 363S29,MARTÍN CARRERA (METRO) - EL CARMEN 363S29,19.835389083576537,-98.97534100960584
245S20,R 245 245S20,POTRERO (METRO) - TIZAYUCA 245S20,19.832213194700596,-98.97824421220804
50S19,R 50 50S19,TREN SUBURBANO CUAUTITLAN - DORADO 50S19,19.831940613147655,-99.20479099491162
363S28,R 363 363S28,MARTÍN CARRERA (METRO) - EL CARMEN 363S28,19.831066654712384,-98.97853190227936
130S13,R 130 130S13,POTRERO (METRO) - PACHUCA 130S13,19.830450420903297,-98.9784919132479
245S19,R 245 245S19,POTRERO (METRO) - TIZAYUCA 245S19,19.828476277441236,-98.97811554696588
363S27,R 363 363S27,MARTÍN CARRERA (METRO) - EL CARMEN 363S27,19.827178638147572,-98.97786863254666
130S12,R 130 130S12,POTRERO (METRO) - PACHUCA 130S12,19.82637927478038,-98.97772340016336
245S18,R 245 245S18,POTRERO (METRO) - TIZAYUCA 245S18,19.823732001338133,-98.97720701555076
462S19,R 462 462S19,MARTÍN CARRERA (METRO) - SAN MIGUEL BOCA NEGRA 462S19,19.823692739928276,-99.11600330302176
50S18,R 50 50S18,TREN SUBURBANO CUAUTITLAN - DORADO 50S18,19.821521494691744,-99.20402937712846
462S18,R 462 462S18,MARTÍN CARRERA (METRO) - SAN MIGUEL BOCA NEGRA 462S18,19.819205195673362,-99.11494649014753
50S17,R 50 50S17,TREN SUBURBANO CUAUTITLAN - DORADO 50S17,19.81887662521905,-99.20526466110549
130S11,R 130 130S11,POTRERO (METRO) - PACHUCA 130S11,19.817720128547965,-98.97601944456363
552S24,R 552 552S24,INDIOS VERDES (METRO) - APAXCO 552S24,19.81749236910831,-99.1141971997166
287S9,R 287 287S9,MARTÍN CARRERA (METRO) - SANTA MARÍA AJOLOAPAN 287S9,19.81730839209696,-98.94642634833063
559S15,R 287 559S15,MARTÍN CARRERA (METRO) - SANTA MARÍA AJOLOAPAN 559S15,19.814848799540464,-98.97545306335584
462S17,R 462 462S17,MARTÍN CARRERA (METRO) - SAN MIGUEL BOCA NEGRA 462S17,19.81386440655575,-99.110998316303
245S17,R 245 245S17,POTRERO (METRO) - TIZAYUCA 245S17,19.812002436778215,-98.97490544944415
130S10,R 130 130S10,POTRERO (METRO) - PACHUCA 130S10,19.80994416589632,-98.97451081113766
462S16,R 462 462S16,MARTÍN CARRERA (METRO) - SAN MIGUEL BOCA NEGRA 462S16,19.808645919539835,-99.10763597156826
552S23,R 552 552S23,INDIOS VERDES (METRO) - APAXCO 552S23,19.80706468246615,-99.10702064904453
363S26,R 363 363S26,MARTÍN CARRERA (METRO) - EL CARMEN 363S26,19.806180435651488,-98.97376674013047
552S22,R 552 552S22,INDIOS VERDES (METRO) - APAXCO 552S22,19.80437255831515,-99.10596914599421
552S21,R 552 552S21,INDIOS VERDES (METRO) - APAXCO 552S21,19.80011891351467,-99.10311071260443
462S15,R 462 462S15,MARTÍN CARRERA (METRO) - SAN MIGUEL BOCA NEGRA 462S15,19.79943983212772,-99.10313504474838
462S14,R 462 462S14,MARTÍN CARRERA (METRO) - SAN MIGUEL BOCA NEGRA 462S14,19.79629922888203,-99.10350208775549
552S20,R 552 552S20,INDIOS VERDES (METRO) - APAXCO 552S20,19.79449220827823,-99.10473362243869
363S25,R 363 363S25,MARTÍN CARRERA (METRO) - EL CARMEN 363S25,19.793916410829247,-98.97254003005925
50S16,R 50 50S16,TREN SUBURBANO CUAUTITLAN - DORADO 50S16,19.792318410946116,-99.20305844640811
245S16,R 245 245S16,POTRERO (METRO) - TIZAYUCA 245S16,19.79163875293251,-98.97259781062986
50S15,R 50 50S15,TREN SUBURBANO CUAUTITLAN - DORADO 50S15,19.79015147930361,-99.20231768036489
552S19,R 552 552S19,INDIOS VERDES (METRO) - APAXCO 552S19,19.787230938611646,-99.11016050504425
50S14,R 50 50S14,TREN SUBURBANO CUAUTITLAN - DORADO 50S14,19.786341852287705,-99.20075273087983
245S15,R 245 245S15,POTRERO (METRO) - TIZAYUCA 245S15,19.786312423138547,-98.97270504592163
552S18,R 552 552S18,INDIOS VERDES (METRO) - APAXCO 552S18,19.7820109,-99.11428140000001
363S24,R 363 363S24,MARTÍN CARRERA (METRO) - EL CARMEN 363S24,19.78158733420367,-98.97283469477796
462S13,R 462 462S13,MARTÍN CARRERA (METRO) - SAN MIGUEL BOCA NEGRA 462S13,19.775293069374488,-99.11678088990057
50S13,R 50 50S13,TREN SUBURBANO CUAUTITLAN - DORADO 50S13,19.774803492003443,-99.20096221221532
552S17,R 552 552S17,INDIOS VERDES (METRO) - APAXCO 552S17,19.774742399999997,-99.1176838
130S9,R 130 130S9,POTRERO (METRO) - PACHUCA 130S9,19.77244263773142,-98.97310933036003
559S16,R 287 559S16,MARTÍN CARRERA (METRO) - SANTA MARÍA AJOLOAPAN 559S16,19.77039167700442,-98.97319405314101
462S12,R 462 462S12,MARTÍN CARRERA (METRO) - SAN MIGUEL BOCA NEGRA 462S12,19.768088590048105,-99.12306571170326
245S13,R 245 245S13,POTRERO (METRO) - TIZAYUCA 245S13,19.767465254926712,-98.97331820950463
302S13,R 302 302S13,MARTÍN CARRERA (METRO) - SAN LUIS 302S13,19.765142696642176,-98.89171961623475
302S14,R 302 302S14,MARTÍN CARRERA (METRO) - SAN LUIS 302S14,19.764713913963284,-98.88558017710592
302S15,R 302 302S15,MARTÍN CARRERA (METRO) - SAN LUIS 302S15,19.763355631443766,-98.8828444454427
302S16,R 302 302S16,MARTÍN CARRERA (METRO) - SAN LUIS 302S16,19.761750551226292,-98.87937602960633
50S12,R 50 50S12,TREN SUBURBANO CUAUTITLAN - DORADO 50S12,19.760668815788037,-99.20081681503191
363S23,R 363 363S23,MARTÍN CARRERA (METRO) - EL CARMEN 363S23,19.760430890636414,-98.97356949854863
302S12,R 302 302S12,MARTÍN CARRERA (METRO) - SAN LUIS 302S12,19.757891470643678,-98.91617576951535
302S17,R 302 302S17,MARTÍN CARRERA (METRO) - SAN LUIS 302S17,19.756436238972523,-98.87364369325888
302S11,R 302 302S11,MARTÍN CARRERA (METRO) - SAN LUIS 302S11,19.755060621706125,-98.92376495955754
552S16,R 552 552S16,INDIOS VERDES (METRO) - APAXCO 552S16,19.749081,-99.1147606
130S8,R 130 130S8,POTRERO (METRO) - PACHUCA 130S8,19.747617275408302,-98.97240571107568
552S15,R 552 552S15,INDIOS VERDES (METRO) - APAXCO 552S15,19.743756582772082,-99.10429662440043
302S9,R 302 302S9,MARTÍN CARRERA (METRO) - SAN LUIS 302S9,19.743094742106916,-98.97201702082491
363S22,R 363 363S22,MARTÍN CARRERA (METRO) - EL CARMEN 363S22,19.742825997278434,-98.97201218156452
302S10,R 302 302S10,MARTÍN CARRERA (METRO) - SAN LUIS 302S10,19.741401627552992,-98.95566466491701
130S7,R 130 130S7,POTRERO (METRO) - PACHUCA 130S7,19.74073276959603,-98.97201307482624
363S21,R 363 363S21,MARTÍN CARRERA (METRO) - EL CARMEN 363S21,19.739837694292568,-98.97202625566656
