shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
138SH,19.467867480107003,-99.06469647779642,3570
138SH,19.46827086699401,-99.06454826253197,3571
138SH,19.46854899232587,-99.06442875421394,3572
139SH,19.482912778074287,-99.10668622440552,3573
139SH,19.48236104362377,-99.10634002871365,3574
139SH,19.48300874985159,-99.10566047100691,3575
139SH,19.48672673081022,-99.1028524452641,3576
139SH,19.494147171770795,-99.09883399323736,3577
139SH,19.496005062403942,-99.09773320914127,3578
139SH,19.498291365810474,-99.09613843543985,3579
139SH,19.51117250575576,-99.08945845056881,3580
139SH,19.511840987968757,-99.0890787188436,3581
139SH,19.513730748879894,-99.0880968954195,3582
139SH,19.5168698979529,-99.08641647567647,3583
139SH,19.52724669805949,-99.07899981763053,3584
139SH,19.52811709997677,-99.07795428741716,3585
139SH,19.528809776063323,-99.0769884441194,3586
139SH,19.5327055911467,-99.0688595562016,3587
139SH,19.535333434433003,-99.06415345446322,3588
139SH,19.535652864403435,-99.06361735501359,3589
139SH,19.536082535602592,-99.06288544239177,3590
139SH,19.536709810995713,-99.06180576388729,3591
139SH,19.538295102305735,-99.0595732335429,3592
139SH,19.538661576835143,-99.05925251490571,3593
139SH,19.539326227140965,-99.05871184589768,3594
139SH,19.55523947253732,-99.05027308329697,3595
139SH,19.562651092325897,-99.04653352503354,3596
139SH,19.57052176931062,-99.04323908584627,3597
139SH,19.57184564465695,-99.0429577895468,3598
139SH,19.57548650849194,-99.0425153668571,3599
139SH,19.57548650849194,-99.0425153668571,3600
139SH,19.5828879,-99.04157839999999,3601
139SH,19.587070906261264,-99.04099776817942,3602
139SH,19.59036333563367,-99.04234369861474,3603
139SH,19.591958459163525,-99.0428380873108,3604
139SH,19.595982169780477,-99.04570047347772,3605
139SH,19.596399482623955,-99.04635185249617,3606
139SH,19.59728406693326,-99.04765852382374,3607
139SH,19.59769440144054,-99.0483530231302,3608
139SH,19.59807304948613,-99.04897199623726,3609
139SH,19.598437981731657,-99.04951060798582,3610
139SH,19.598560681112353,-99.04969237785615,3611
139SH,19.59863102771558,-99.04979659128536,3612
139SH,19.5995296699053,-99.05131411586396,3613
139SH,19.59957466419469,-99.05139267049834,3614
139SH,19.599844087304675,-99.05186994460549,3615
139SH,19.600092004777462,-99.0523131901271,3616
139SH,19.60064714909823,-99.0534594746334,3617
139SH,19.60093120365314,-99.05404084941124,3618
139SH,19.605163281053205,-99.05922118184613,3619
139SH,19.605104300358118,-99.06086454321779,3620
139SH,19.605998824407493,-99.0630387616296,3621
139SH,19.60625406122448,-99.0633094671419,3622
139SH,19.607660482007272,-99.06509048212494,3623
139SH,19.60851849782234,-99.06676331982997,3624
139SH,19.608912104185272,-99.06755096323143,3625
140SH,19.456302026223042,-99.18015300495728,3626
140SH,19.46590585035685,-99.18665202613234,3627
140SH,19.482720146765413,-99.18603015826956,3628
140SH,19.495429953019503,-99.19757442172302,3629
140SH,19.5086881,-99.2053565,3630
141SH,19.264724780885857,-99.105689671752,3631
141SH,19.264872450255808,-99.10660285348753,3632
141SH,19.264511261986545,-99.10752362828892,3633
141SH,19.264937424894306,-99.10984856493525,3634
141SH,19.268593369453594,-99.11680375769718,3635
141SH,19.270003364289835,-99.11761388818582,3636
141SH,19.271840797515722,-99.11867737404292,3637
141SH,19.278635996526813,-99.12258788530389,3638
141SH,19.28325482091014,-99.13219771879021,3639
141SH,19.29196690121922,-99.14830020647138,3640
141SH,19.318534325600154,-99.1382991519366,3641
141SH,19.34192091669373,-99.14353004204077,3642
141SH,19.352564832892217,-99.14508041745185,3643
141SH,19.35833054131336,-99.14351700386975,3644
141SH,19.36097704086148,-99.14293613466928,3645
141SH,19.369276485618105,-99.14147594574582,3646
141SH,19.390329093577186,-99.13842913536956,3647
141SH,19.42058928184359,-99.13321087521702,3648
141SH,19.42090146180307,-99.13297063667518,3649
141SH,19.421992534957482,-99.13286463810068,3650
142SH,19.32366347904679,-99.1733955648665,3651
142SH,19.328382524850408,-99.17336347313052,3652
142SH,19.311376689511,-99.17245025560946,3653
142SH,19.309774083912057,-99.17549992539864,3654
142SH,19.307844340737624,-99.1801366005427,3655
142SH,19.303354960095508,-99.18361475623539,3656
142SH,19.30230259155423,-99.1929968125715,3657
142SH,19.30520305661506,-99.2021534126245,3658
142SH,19.305333012064924,-99.2026473250116,3659
142SH,19.30551703988879,-99.20368637142543,3660
142SH,19.305997241285354,-99.20607060121222,3661
142SH,19.293922675699186,-99.2158493987247,3662
142SH,19.288649086239044,-99.22875023130534,3663
142SH,19.282932999999996,-99.2294146,3664
142SH,19.276408659418916,-99.22811235835022,3665
143SH,19.46803320149914,-99.13737786223459,3666
143SH,19.468066404613456,-99.1382926147939,3667
143SH,19.46531954239138,-99.13873764013847,3668
143SH,19.465346986210292,-99.13948718856705,3669
143SH,19.465328852724028,-99.14040446518361,3670
143SH,19.46322062437213,-99.15159541510644,3671
143SH,19.459884715279046,-99.16241263647932,3672
143SH,19.458733237700706,-99.16328619632712,3673
143SH,19.455526279843046,-99.16397167095255,3674
143SH,19.450946690673746,-99.16433196137602,3675
143SH,19.44475926550777,-99.16551554197737,3676
143SH,19.444386529098622,-99.16559537004032,3677
143SH,19.444386529098622,-99.16559537004032,3678
143SH,19.444386529098622,-99.16559537004032,3679
143SH,19.435667447977526,-99.17013934467406,3680
143SH,19.4297200950645,-99.17376317994754,3681
143SH,19.426428870769655,-99.17593378200955,3682
143SH,19.42585783127268,-99.17631129699971,3683
143SH,19.425657049203984,-99.17644768779026,3684
143SH,19.420137979062492,-99.17784927051366,3685
143SH,19.41715613799073,-99.17902270892428,3686
144SH,19.300418117664567,-99.14777752606639,3687
144SH,19.303585411664997,-99.14541688394908,3688
144SH,19.30515379822307,-99.14458055923133,3689
144SH,19.305201304916594,-99.14474988629155,3690
144SH,19.298645392871965,-99.15103373878495,3691
144SH,19.298422320110287,-99.15131633840498,3692
144SH,19.29786256609906,-99.15235184555638,3693
144SH,19.297835110816724,-99.15247335396896,3694
144SH,19.297642578369945,-99.15332963457693,3695
144SH,19.297502706346755,-99.15396637184334,3696
144SH,19.297217346849788,-99.15525780425061,3697
144SH,19.297082259605354,-99.15589516277927,3698
144SH,19.296936422454223,-99.15656893613243,3699
144SH,19.296285920034467,-99.15913549347063,3700
144SH,19.293230707269256,-99.16514317451538,3701
144SH,19.292156431708925,-99.16697349322371,3702
144SH,19.292173158578407,-99.16702014156513,3703
144SH,19.293279504335537,-99.17015145137601,3704
144SH,19.295133554675598,-99.17562385562422,3705
144SH,19.29515848787313,-99.17743105800638,3706
144SH,19.295455242561495,-99.18275389444432,3707
144SH,19.295612219595625,-99.18406605217484,3708
144SH,19.295663983938137,-99.18471669846579,3709
144SH,19.29133022099517,-99.18239062262477,3710
144SH,19.28974592731528,-99.18354793239271,3711
144SH,19.28933547308444,-99.18394794279598,3712
144SH,19.287744493675724,-99.18491577551639,3713
144SH,19.28752308115791,-99.18503547739746,3714
144SH,19.287238076960158,-99.18518930064567,3715
144SH,19.285191877269938,-99.18830578795682,3716
144SH,19.284454222842985,-99.18915722461377,3717
144SH,19.284400034949062,-99.18938782000801,3718
144SH,19.285509378186163,-99.19594172697812,3719
